Longitude,Latitude,MAR,LogMAR
469.2,34.2,1.42694E-09,-8.845594093
469.2,34.2,9.19584E-10,-9.036408609
109.48,34.18,3.07585E-09,-8.512034873
469.48,34.18,3.07585E-09,-8.512034873
109.32,34.17,1.36352E-09,-8.865338151
469.32,34.17,1.36352E-09,-8.865338151
131,34,3.67834E-10,-9.434348618
491,34,3.67834E-10,-9.434348618
61.5,33,4.28082E-10,-9.368472838
421.5,33,4.28082E-10,-9.368472838
49.33,32.98,1.58549E-09,-8.799836603
409.33,32.98,1.58549E-09,-8.799836603
269.33,32.38,1.09082E-08,-7.962248164
-90.67,32.38,1.09082E-08,-7.962248164
61.77,32.31,1.14789E-09,-8.940098036
421.77,32.31,1.14789E-09,-8.940098036
150,32,4.54084E-10,-9.342863589
510,32,4.54084E-10,-9.342863589
99.98,31.63,3.74873E-09,-8.426115652
459.98,31.63,3.74873E-09,-8.426115652
268.71,31.58,1.65842E-08,-7.780304918
-91.29,31.58,1.65842E-08,-7.780304918
62.84,31,4.12227E-10,-9.384863255
422.84,31,4.12227E-10,-9.384863255
62.33,30.95,9.98858E-10,-9.000496053
62.84,30.95,3.5515E-10,-9.449588584
422.33,30.95,9.98858E-10,-9.000496053
422.84,30.95,3.5515E-10,-9.449588584
140,28.4,6.69077E-11,-10.17452415
500,28.4,6.69077E-11,-10.17452415
49.1,24.8,1.77575E-09,-8.75061858
409.1,24.8,1.77575E-09,-8.75061858
59.2,23.5,4.64263E-09,-8.333235866
419.2,23.5,4.64263E-09,-8.333235866
338.7,22.68,1.71233E-10,-9.766412847
-21.3,22.68,1.71233E-10,-9.766412847
63.1,20.9,2.41724E-09,-8.616680687
423.1,20.9,2.41724E-09,-8.616680687
59.6,20.7,1.04281E-08,-7.981795555
419.6,20.7,1.04281E-08,-7.981795555
340.1,19.9,1.57281E-10,-9.80332493
-19.9,19.9,1.57281E-10,-9.80332493
60.7,19.2,3.33302E-09,-8.477162571
420.7,19.2,3.33302E-09,-8.477162571
338.92,18.43,2.53678E-10,-9.59571662
-21.08,18.43,2.53678E-10,-9.59571662
338.9,18.4,3.80518E-10,-9.419625361
-21.1,18.4,3.80518E-10,-9.419625361
339,18.1,5.93607E-10,-9.226500763
-21,18.1,5.93607E-10,-9.226500763
69,17.1,2.61606E-10,-9.582352658
429,17.1,2.61606E-10,-9.582352658
59.8,16.6,6.44977E-10,-9.190455658
59.9,16.6,5.26383E-10,-9.278698519
419.8,16.6,6.44977E-10,-9.190455658
419.9,16.6,5.26383E-10,-9.278698519
67.9,16.5,5.51116E-10,-9.258756835
427.9,16.5,5.51116E-10,-9.258756835
6,15,1.26839E-08,-7.896746616
366,15,1.26839E-08,-7.896746616
64.8,14.9,4.25863E-10,-9.370730594
424.8,14.9,4.25863E-10,-9.370730594
50.5,14.4,1.87722E-09,-8.7264849
410.5,14.4,1.87722E-09,-8.7264849
57.4,14.3,2.01167E-09,-8.696443433
417.4,14.3,2.01167E-09,-8.696443433
341.42,14.17,5.26383E-10,-9.278698519
-18.58,14.17,5.26383E-10,-9.278698519
46.8,12.9,3.25342E-09,-8.487659246
406.8,12.9,3.25342E-09,-8.487659246
58.7,12.7,1.35654E-09,-8.867565827
418.7,12.7,1.35654E-09,-8.867565827
15.035,12.11,6.65906E-09,-8.176587312
375.035,12.11,6.65906E-09,-8.176587312
73.9,12.1,3.40563E-10,-9.467802326
433.9,12.1,3.40563E-10,-9.467802326
8.31,12,1.00837E-08,-7.996379487
368.31,12,1.00837E-08,-7.996379487
53.5,11.3,2.99658E-10,-9.523374798
413.5,11.3,2.99658E-10,-9.523374798
57.7,10.5,4.69939E-10,-9.327958403
417.7,10.5,4.69939E-10,-9.327958403
49.3,8.8,1.67428E-08,-7.776172684
73.7,8.8,5.85997E-10,-9.23210464
409.3,8.8,1.67428E-08,-7.776172684
433.7,8.8,5.85997E-10,-9.23210464
51.2,8,4.95307E-10,-9.305125577
411.2,8,4.95307E-10,-9.305125577
61.1,6.7,3.66565E-10,-9.435848773
421.1,6.7,3.66565E-10,-9.435848773
338.1,6.67,9.19584E-11,-10.03640861
-21.9,6.67,9.19584E-11,-10.03640861
338.86,6.65,1.80746E-10,-9.742931751
-21.14,6.65,1.80746E-10,-9.742931751
78.7,6.4,4.16667E-10,-9.380211242
438.7,6.4,4.16667E-10,-9.380211242
338.91,5.45,1.14155E-10,-9.942504106
