Longitude,Latitude,MAR,LogMAR
-64.25,32.08,6.02486E-11,-10.22005301
191.56,32.04,1.90259E-11,-10.72065536
-168.44,32.04,1.90259E-11,-10.72065536
33.5,32,1.14155E-09,-8.942504106
150,32,5.67605E-10,-9.245953576
393.5,32,1.14155E-09,-8.942504106
510,32,5.67605E-10,-9.245953576
235.4,31.7,3.48808E-11,-10.45741392
-124.6,31.7,3.48808E-11,-10.45741392
99.98,31.63,1.19609E-09,-8.922234923
459.98,31.63,1.19609E-09,-8.922234923
335.33,31.55,7.48351E-11,-10.1258946
-24.67,31.55,7.48351E-11,-10.1258946
137.08,31.53,6.7859E-10,-9.168392834
497.08,31.53,6.7859E-10,-9.168392834
220.41,31.51,1.90259E-11,-10.72065536
-139.59,31.51,1.90259E-11,-10.72065536
200.58,31.31,9.51294E-12,-11.02168535
-159.42,31.31,9.51294E-12,-11.02168535
162.19,31.13,1.90259E-11,-10.72065536
522.19,31.13,1.90259E-11,-10.72065536
182.51,31.11,1.58549E-11,-10.7998366
-177.49,31.11,1.58549E-11,-10.7998366
189.65,31.1,1.90259E-11,-10.72065536
-170.35,31.1,1.90259E-11,-10.72065536
232.4,31,2.53678E-11,-10.59571662
-127.6,31,2.53678E-11,-10.59571662
213.52,30.58,1.26839E-11,-10.89674662
-146.48,30.58,1.26839E-11,-10.89674662
175,30,9.51294E-11,-10.02168535
336,30,6.34196E-11,-10.19777661
535,30,9.51294E-11,-10.02168535
-24,30,6.34196E-11,-10.19777661
284.43,29.25,9.22755E-11,-10.03491362
-75.57,29.25,9.22755E-11,-10.03491362
344.55,29.11,2.45751E-10,-9.609504904
344.55,29.11,1.31596E-10,-9.88075851
-15.45,29.11,2.45751E-10,-9.609504904
-15.45,29.11,1.31596E-10,-9.88075851
140,28.4,1.90259E-11,-10.72065536
500,28.4,1.90259E-11,-10.72065536
85.72,28.38,1.6172E-11,-10.79123643
445.72,28.38,1.6172E-11,-10.79123643
182.7,28.2,1.96601E-11,-10.70641492
-177.3,28.2,1.96601E-11,-10.70641492
338.02,28,7.61035E-11,-10.11859537
-21.98,28,7.61035E-11,-10.11859537
340.97,25.52,1.64891E-10,-9.782803263
-19.03,25.52,1.64891E-10,-9.782803263
340.82,25.5,2.15627E-10,-9.666297694
-19.18,25.5,2.15627E-10,-9.666297694
337.17,24.55,1.65208E-10,-9.781968884
-22.83,24.55,1.65208E-10,-9.781968884
59,24.4,3.76078E-09,-8.424721918
419,24.4,3.76078E-09,-8.424721918
59.2,23.5,4.22057E-09,-8.374628552
419.2,23.5,4.22057E-09,-8.374628552
316.61,23.22,2.18798E-10,-9.659957516
-43.39,23.22,2.18798E-10,-9.659957516
340.82,23.07,1.74404E-10,-9.758443917
-19.18,23.07,1.74404E-10,-9.758443917
338.7,22.68,1.39523E-10,-9.85535393
-21.3,22.68,1.39523E-10,-9.85535393
202,22.5,2.85388E-11,-10.5445641
-158,22.5,2.85388E-11,-10.5445641
318.7,22.08,1.52207E-10,-9.81756537
-41.3,22.08,1.52207E-10,-9.81756537
334.77,21.93,2.12456E-10,-9.672731804
-25.23,21.93,2.12456E-10,-9.672731804
64.6,21.8,1.06545E-09,-8.97246733
424.6,21.8,1.06545E-09,-8.97246733
202.4,21.3,1.39523E-11,-10.85535393
-157.6,21.3,1.39523E-11,-10.85535393
339.31,21.15,6.49417E-10,-9.187476655
339.32,21.15,6.24683E-10,-9.204340381
-20.69,21.15,6.49417E-10,-9.187476655
-20.68,21.15,6.24683E-10,-9.204340381
328.83,21.05,1.18278E-10,-9.927097775
-31.17,21.05,1.18278E-10,-9.927097775
65.6,21,6.34196E-10,-9.197776611
425.6,21,6.34196E-10,-9.197776611
340.25,20.92,6.95079E-10,-9.157966057
340.26,20.92,8.62506E-10,-9.064237703
340.26,20.92,3.61175E-10,-9.442282883
340.26,20.92,5.64751E-10,-9.248142688
-19.75,20.92,6.95079E-10,-9.157966057
-19.74,20.92,8.62506E-10,-9.064237703
-19.74,20.92,3.61175E-10,-9.442282883
-19.74,20.92,5.64751E-10,-9.248142688
63.1,20.9,7.32496E-10,-9.135194627
423.1,20.9,7.32496E-10,-9.135194627
59.6,20.7,3.86225E-09,-8.413159319
419.6,20.7,3.86225E-09,-8.413159319
331,20,3.17098E-11,-10.49880661
